GearId,Name,Meters,AthleteId
b8203105,Brutus,132489,33201149
b8203097,SparkleMaster,822955,33201149
g5597443,Altra Escalante,125693,33201149
g5301782,Altra Superior 4.9,252767,33201149
g5270088,Merrell Trail glove 4,114765,33201149
g5270097,Merrell All Out Peak,30365,33201149
g5815552,Altra Superior 4.9.5,548340,33201149
g6576338,Altra Superior 4.9.5.2,374148,33201149
g6555063,Chaco Chaco Chacos,16784,33201149
b5091389,Gravel Bike,1195953,19818831
b7330337,Mountain Bike,822367,19818831
b3614416,Touring Bike,7719521,19818831
g3195986,Merrell Boots,128429,19818831
g2979527,Barefoot (No Shoes) Zach,4193,19818831
g4746762,Brooks Pureflow 7 Black Shoes,990955,19818831
g4701906,Altra Lone Peak Red 'n Grey,988173,19818831
g6606594,Altra Superior 3.5 Reds,485982,19818831
g4052431,Brooks Mazama 2 Trail race,535493,19818831
g4443391,Nike Jans Whites,3722,19818831
